batsman,cluster
AM Rahane,5
R Dravid,5
STR Binny,5
BJ Hodge,5
AL Menaria,7
KK Cooper,9
R Shukla,6
DA Warner,4
UBT Chand,8
DPMD Jayawardene,5
MC Juneja,8
AD Russell,9
J Botha,7
IK Pathan,5
NV Ojha,5
JEC Franklin,5
SR Tendulkar,5
RG Sharma,4
KD Karthik,5
KA Pollard,4
Harbhajan Singh,0
AT Rayudu,5
NLTC Perera,0
N Saini,8
Mandeep Singh,5
SE Marsh,4
DJ Hussey,5
Azhar Mahmood,5
DA Miller,4
MJ Guptill,5
WP Saha,5
GJ Maxwell,9
AR Patel,5
LMP Simmons,4
PA Patel,5
N Rana,5
HH Pandya,0
KV Sharma,7
AM Nayar,7
SV Samson,5
SR Watson,4
SPD Smith,4
JP Faulkner,0
CA Pujara,7
V Sehwag,9
DR Smith,4
BB McCullum,5
SK Raina,4
RA Jadeja,5
Ishan Kishan,5
DJ Bravo,5
Q de Kock,4
KK Nair,5
JP Duminy,4
RR Pant,4
CH Morris,9
P Negi,5
MA Agarwal,5
SS Iyer,5
KM Jadhav,5
Yuvraj Singh,5
AD Mathews,5
SS Tiwary,5
NM Coulter-Nile,8
RT Ponting,6
MEK Hussey,4
M Vijay,5
S Badrinath,5
MS Dhoni,4
R Ashwin,8
B Laughlin,3
AS Rajpoot,3
AP Tare,5
SW Billings,0
CJ Anderson,5
F du Plessis,4
RA Tripathi,4
BA Stokes,4
R Bhatia,7
DL Chahar,1
A Zampa,3
AB Dinda,3
Imran Tahir,6
CH Gayle,4
V Kohli,4
AB de Villiers,4
SN Khan,9
DJ Hooda,0
Ankit Sharma,5
DS Kulkarni,8
AC Gilchrist,4
PC Valthaty,5
SD Chitnis,7
RJ Harris,8
P Kumar,7
SJ Srivastava,8
JD Ryder,5
MK Pandey,5
RV Uthappa,4
CJ Ferguson,8
AA Jhunjhunwala,7
MR Marsh,7
JR Hopes,5
LA Pomersbach,5
ST Jayasuriya,4
SM Pollock,5
PR Shah,7
CRD Fernando,7
VS Yeligati,6
OA Shah,4
M Kaif,7
DL Vettori,7
R Vinay Kumar,7
Z Khan,6
S Aravind,7
M Muralitharan,6
G Gambhir,5
YK Pathan,4
Shakib Al Hasan,5
SA Yadav,5
PP Chawla,7
UT Yadav,8
S Dhawan,5
MC Henriques,5
Mohammad Nabi,3
Rashid Khan,7
HM Amla,4
M Vohra,5
EJG Morgan,5
MM Sharma,7
KC Cariappa,6
I Sharma,6
Sandeep Sharma,6
JH Kallis,5
CA Lynn,9
YV Takawale,7
JA Morkel,4
KP Pietersen,4
AJ Finch,4
SC Ganguly,7
Mohammad Hafeez,6
LR Shukla,7
AB Agarkar,5
M Kartik,7
ML Hayden,4
LRPL Taylor,5
Y Nagar,7
ER Dwivedi,9
BCJ Cutting,9
Bipul Sharma,4
AP Majumdar,5
B Kumar,8
R Sharma,6
A Nehra,6
IR Jaggi,6
CL White,5
DT Christian,5
B Chipli,7
A Ashish Reddy,0
A Mishra,8
DW Steyn,8
V Pratap Singh,2
RE Levi,7
RJ Peterson,7
KL Rahul,5
DJG Sammy,5
BR Dunk,7
CM Gautam,5
M Morkel,0
WD Parnell,6
MN Samuels,8
SL Malinga,8
PP Ojha,3
MM Patel,8
Yashpal Singh,6
AN Ghosh,6
BAW Mendis,3
Y Venugopal Rao,5
S Sriram,8
TR Birt,5
VR Aaron,8
PA Reddy,8
KC Sangakkara,5
GH Vihari,8
R Rampaul,8
A Mithun,7
JD Unadkat,3
MS Bisla,5
MK Tiwary,5
RN ten Doeschate,0
KMDN Kulasekara,1
P Sahu,0
KJ Abbott,0
S Sohal,5
TM Dilshan,5
JJ van der Wath,7
R Ninan,3
L Ronchi,8
DJ Thornely,6
S Chanderpaul,6
MV Boucher,5
B Akhil,0
DB Das,5
SP Narine,0
HH Gibbs,5
RP Singh,6
PD Collingwood,4
AB McDonald,5
MJ Lumb,4
FY Fazal,7
AC Voges,4
P Dogra,8
SK Warne,8
S Narwal,0
SW Tait,6
SK Trivedi,6
VVS Laxman,7
RV Gomez,8
S Sreesanth,6
GC Smith,7
M Manhas,7
MD Mishra,7
RJ Quiney,7
C Nanda,2
DJ Harris,5
AUK Pathan,0
J Syed Mohammad,7
Gurkeerat Singh,5
KH Pandya,9
JC Buttler,4
S Nadeem,3
Vishnu Vinod,6
TM Head,4
Sachin Baby,0
PJ Cummins,0
Mohammed Shami,8
VH Zol,7
J Theron,6
GJ Bailey,5
Sunny Singh,0
L Balaji,6
MS Wade,6
CA Ingram,8
DH Yagnik,5
R Dhawan,5
C Munro,7
MJ McClenaghan,0
S Anirudha,5
SA Asnodkar,5
Sohail Tanvir,7
M Rawat,6
CR Brathwaite,9
KS Williamson,4
BB Sran,7
UT Khawaja,5
Niraj Patel,7
T Henderson,6
AD Mascarenhas,8
Kamran Khan,3
R McLaren,8
PJ Sangwan,6
DJ Jacobs,8
TD Paine,3
Harpreet Singh,6
PV Tambe,3
JJ Bumrah,8
AS Raut,7
MP Stoinis,5
JDP Oram,8
K Goel,8
SM Katich,5
RS Bopara,5
MS Gony,0
T Thushara,6
WA Mota,6
B Lee,5
RR Powar,7
TL Suman,5
R Sathish,5
CJ McKay,3
MG Johnson,8
Shivam Sharma,0
S Rana,7
MA Starc,7
HV Patel,7
YS Chahal,3
P Awana,3
DB Ravi Teja,5
RR Raje,7
RR Rossouw,8
Harmeet Singh,0
TG Southee,0
JDS Neesham,8
A Singh,2
SS Shaikh,8
AG Paunikar,8
DE Bollinger,8
A Symonds,4
KB Arun Karthik,7
Iqbal Abdulla,4
BB Samantray,5
BJ Rohrer,4
A Flintoff,5
R Bishnoi,8
A Kumble,6
Joginder Sharma,7
BE Hendricks,2
RS Gavaskar,2
SE Bond,3
S Vidyut,5
CK Kapugedera,6
Kamran Akmal,9
K Rabada,8
SB Jakati,8
RE van der Merwe,7
JE Taylor,7
JO Holder,7
Anureet Singh,6
Karanveer Singh,6
W Jaffer,7
Misbah-ul-Haq,0
DT Patil,8
RR Sarwan,8
I Malhotra,9
Salman Butt,5
SP Fleming,5
Younis Khan,3
D Salunkhe,4
Pankaj Singh,3
A Chopra,6
T Taibu,7
SB Styris,8
SB Bangar,8
WPUJC Vaas,7
SN Thakur,6
AF Milne,3
S Badree,3
NS Naik,6
JM Kemp,7
S Tyagi,6
SP Goswami,8
M Ntini,6
V Shankar,4
CJ Jordan,6
Shoaib Malik,7
VY Mahesh,3
Mohammad Asif,3
GD McGrath,6
NJ Maddinson,8
D Wiese,4
AN Ahmed,4
KW Richardson,8
Parvez Rasool,8
Umar Gul,1
J Suchith,4
LA Carseldine,5
SM Harwood,6
A Chandila,3
LJ Wright,9
DAJ Bracewell,0
AC Thomas,8
MN van Wyk,4
SB Joshi,3
P Parameswaran,3
Shahid Afridi,9
AS Yadav,7
AA Chavan,7
F Behardien,8
J Arunkumar,8
B Sumanth,8
KP Appanna,3
Y Gnaneswara Rao,7
M Ashwin,2
A Choudhary,7
AA Bilakhia,8
Mashrafe Mortaza,7
AC Blizzard,0
AD Nath,6
S Kaushik,2
A Uniyal,3
Swapnil Singh,3
NL McCullum,7
VS Malik,7
MF Maharoof,0
AP Dole,0
Anirudh Singh,8
BMAJ Mendis,6
MA Khote,7
GR Napier,8
Shoaib Ahmed,2
LPC Silva,9
H Das,3
DNT Zoysa,0
AG Murtaza,6
IC Pandey,2
SMSM Senanayake,6
TM Srivastava,6
GB Hogg,8
VRV Singh,0
SB Wagh,3
MJ Clarke,7
SP Jackson,5
C de Grandhomme,0
CR Woakes,8
M Klinger,8
PSP Handscomb,3
AB Barath,7
ND Doshi,2
D du Preez,6
Washington Sundar,7
S Kaul,6
JJ Roy,4
K Upadhyay,0
A Mukund,6
BJ Haddin,9
RG More,7
DJ Muthuswami,2
Basil Thampi,7
Ankit Soni,6
R Tewatia,9
X Thalaivan Sargunam,3
BA Bhatt,8
T Kohli,3
DS Lehmann,8
AJ Tye,9
CK Langeveldt,6
RD Chahar,0
LH Ferguson,7
PM Sarvesh Kumar,3
