bowler,cluster
IK Pathan,2
A Nehra,0
UT Yadav,0
AD Russell,0
S Nadeem,6
J Botha,2
S Badree,0
S Sreesanth,0
SK Trivedi,0
KK Cooper,5
R Shukla,6
STR Binny,2
P Kumar,2
BA Bhatt,2
P Awana,0
Azhar Mahmood,0
PP Chawla,0
DJ Hussey,7
MM Patel,0
RP Singh,0
PP Ojha,0
KA Pollard,2
Harbhajan Singh,0
NLTC Perera,2
HH Pandya,7
MJ McClenaghan,0
JJ Bumrah,2
SL Malinga,5
KV Sharma,0
Sandeep Sharma,5
MJ Henry,7
I Sharma,6
MM Sharma,0
AR Patel,0
GJ Maxwell,6
R Tewatia,0
MG Johnson,0
L Balaji,0
M Kartik,8
KW Richardson,5
DS Kulkarni,0
JP Faulkner,0
PV Tambe,2
R Bhatia,0
Z Khan,0
CH Morris,0
A Mishra,0
Imran Tahir,5
JP Duminy,2
DJ Bravo,5
SK Raina,8
DR Smith,0
RA Jadeja,2
R Vinay Kumar,0
J Suchith,2
NM Coulter-Nile,5
AD Mathews,6
Yuvraj Singh,2
DP Nannes,0
AS Rajpoot,0
B Laughlin,9
R Ashwin,0
AB Dinda,0
DL Chahar,1
BA Stokes,0
A Zampa,5
PJ Cummins,0
CJ Anderson,8
SR Watson,0
Ankit Sharma,6
MA Starc,5
S Aravind,5
HV Patel,0
D Wiese,0
YS Chahal,5
B Kumar,5
SB Wagh,0
WD Parnell,0
R Sharma,0
MR Marsh,5
AA Jhunjhunwala,1
RJ Harris,0
SJ Srivastava,0
PC Valthaty,0
SM Pollock,0
VS Yeligati,3
SD Chitnis,0
CRD Fernando,5
VRV Singh,6
JR Hopes,6
DL Vettori,2
M Muralitharan,0
CH Gayle,6
Pankaj Singh,6
A Singh,5
GB Hogg,0
M Morkel,0
Shakib Al Hasan,0
SP Narine,0
KC Cariappa,6
BB Sran,2
S Kaul,0
Mohammad Nabi,2
Rashid Khan,5
MC Henriques,2
JA Morkel,0
VR Aaron,2
JH Kallis,2
SB Jakati,2
M Ashwin,2
JDP Oram,6
MS Gony,2
P Amarnath,2
Joginder Sharma,2
AB Agarkar,6
Mohammad Hafeez,2
LR Shukla,0
AA Chavan,6
TA Boult,2
Bipul Sharma,2
BCJ Cutting,2
S Kaushik,8
JD Ryder,6
A Chandila,0
SW Tait,0
JEC Franklin,0
RJ Peterson,5
DW Steyn,0
V Pratap Singh,0
DT Christian,2
A Ashish Reddy,5
DJG Sammy,2
KP Pietersen,2
V Sehwag,6
Y Nagar,0
AC Thomas,0
SC Ganguly,6
MN Samuels,2
BAW Mendis,6
BJ Hodge,5
AM Nayar,2
SR Tendulkar,3
AM Salvi,0
S Sriram,3
SMSM Senanayake,0
RN ten Doeschate,8
YK Pathan,2
R Rampaul,5
A Mithun,7
JD Unadkat,5
KMDN Kulasekara,0
KJ Abbott,4
P Sahu,8
LMP Simmons,2
JJ van der Wath,6
R Ninan,5
TM Dilshan,9
B Akhil,6
SB Joshi,4
ST Jayasuriya,0
Iqbal Abdulla,0
S Narwal,6
AC Voges,3
SK Warne,0
MF Maharoof,5
AB McDonald,0
S Ladda,6
PD Collingwood,5
C Nanda,0
P Parameswaran,0
J Syed Mohammad,2
S Dhawan,5
Anand Rajan,0
TP Sudhindra,1
KH Pandya,2
N Rana,3
Mohammed Shami,8
Avesh Khan,0
TM Head,6
P Negi,0
BW Hilfenhaus,5
J Theron,0
DJ Harris,3
RR Powar,6
Karanveer Singh,0
R Dhawan,2
IC Pandey,2
S Tyagi,8
A Kumble,0
SS Mundhe,3
VS Malik,8
TG Southee,6
JW Hastings,5
Kuldeep Yadav,0
GS Sandhu,4
Harmeet Singh,0
DE Bollinger,5
S Randiv,6
T Natarajan,7
MP Stoinis,0
Swapnil Singh,4
RD Chahar,0
RR Raje,2
Sohail Tanvir,5
RG Sharma,0
DJ Muthuswami,0
C Munro,3
CR Brathwaite,2
Mustafizur Rahman,0
AD Mascarenhas,5
Kamran Khan,5
T Henderson,8
R McLaren,6
PJ Sangwan,2
RV Gomez,0
AG Murtaza,2
R Sathish,9
JE Taylor,0
M Manhas,3
Washington Sundar,0
LH Ferguson,2
SN Thakur,0
CK Langeveldt,5
V Kohli,4
AA Kazi,3
LRPL Taylor,3
AL Menaria,8
AJ Finch,9
B Lee,8
K Goel,3
WA Mota,0
RS Bopara,0
T Thushara,5
TL Suman,2
SE Bond,0
Gurkeerat Singh,5
VY Mahesh,5
CJ McKay,7
Shivam Sharma,6
P Suyal,9
AN Ahmed,6
Parvez Rasool,9
Shoaib Ahmed,0
S Rana,3
ND Doshi,6
JDS Neesham,4
M Vijay,3
SS Sarkar,2
A Symonds,2
Harmeet Singh (2),2
A Flintoff,8
MK Tiwary,9
BE Hendricks,0
Anureet Singh,2
JM Kemp,5
M Ntini,2
K Rabada,0
RE van der Merwe,0
JO Holder,7
KS Williamson,3
DJ Hooda,8
Gagandeep Singh,8
M de Lange,2
Y Venugopal Rao,7
I Malhotra,3
B Chipli,3
Shoaib Akhtar,5
J Yadav,8
D Salunkhe,9
WPUJC Vaas,5
DP Vijaykumar,8
SB Styris,2
SB Bangar,7
Umar Gul,5
KP Appanna,2
AF Milne,6
YA Abdulla,5
Jaskaran Singh,0
CJ Jordan,5
GD McGrath,2
Mohammad Asif,2
Shoaib Malik,6
DJ Thornely,5
KAJ Roach,3
MB Parmar,3
BJ Rohrer,3
SM Harwood,0
AM Rahane,3
AUK Pathan,3
CR Woakes,5
C de Grandhomme,2
DAJ Bracewell,5
SA Yadav,3
D Kalyankrishna,6
Shahid Afridi,0
K Upadhyay,3
LJ Wright,7
T Shamsi,8
GH Vihari,6
CL White,4
DB Ravi Teja,0
A Choudhary,0
AS Raut,3
FH Edwards,2
Mashrafe Mortaza,3
Sachin Baby,3
A Uniyal,0
NL McCullum,3
K Santokie,0
S Gopal,5
MG Neser,3
Mohammed Siraj,5
V Shankar,3
Basil Thampi,6
AP Dole,5
BMAJ Mendis,6
MA Khote,0
GR Napier,0
DNT Zoysa,8
NB Singh,5
AJ Tye,5
Ankit Soni,9
MJ Clarke,2
SPD Smith,3
SM Boland,0
L Ablish,5
P Prasanth,3
Y Gnaneswara Rao,3
LA Carseldine,3
D du Preez,5
AC Gilchrist,3
CK Kapugedera,3
RG More,7
RS Gavaskar,3
B Geeves,4
PM Sarvesh Kumar,6
SS Agarwal,6
FY Fazal,3
RR Bhatkal,3
Sunny Gupta,3
NJ Rimmington,3
Tejas Baroka,3
Abdur Razzak,3
TS Mills,0
B Stanlake,2
LPC Silva,3
AA Noffke,2
C Ganapathy,3
A Nel,0
F du Plessis,3
RW Price,3
SA Abbott,3
S Vidyut,5
RA Tripathi,3
RR Bose,3
RA Shaikh,3
M Markande,0
E Lewis,2
A Dananjaya,0
JA Behrandorff,8
L Ngidi,8
Monu Kumar,8
KM Asif,8
DR Shorey,2
MA Wood,0
JC Archer,0
MK Lomror,7
DJM Short,6
H Klaasen,2
P Chopra,2
K Gowtham,3
MM Ali,3
K Khejroliya,0
AA Joshi,8
PU Deshpande,4
NA Saini,3
JPR Scantlebury-Searles,0
Shivam Mavi,4
TK Curran,0
Shubman Gill,2
M Prasidh Krishna,0
LE Plunkett,3
PP Shaw,2
RK Singh,5
Abhishek Sharma,2
Avesh Khan,3
CJ Dala,0
S Lamichhne,8
Mujeeb Ur Rahman,0
RK Bhui,2
KK Ahmed,0
AD Hales,9
