batsman,bowler,0,1,2,3,4,5,6,wickets,balls
MDKJ Perera,IK Pathan,0.75,0,0,0,0.25,0,0,0,4
AM Rahane,IK Pathan,0.3125,0.46875,0.03125,0,0.15625,0,0.03125,0,32
MDKJ Perera,A Nehra,0.666666666666667,0.333333333333333,0,0,0,0,0,0,3
AM Rahane,A Nehra,0.372093023255814,0.348837209302326,0.046511627906977,0,0.232558139534884,0,0,0,43
AM Rahane,UT Yadav,0.333333333333333,0.458333333333333,0.041666666666667,0,0.083333333333333,0,0.0625,0.020833333333333,48
MDKJ Perera,UT Yadav,0.2,0.2,0,0,0.4,0,0,0.2,5
R Dravid,A Nehra,0.515151515151515,0.272727272727273,0,0,0.181818181818182,0,0,0.03030303030303,33
R Dravid,UT Yadav,0.472222222222222,0.333333333333333,0.055555555555556,0,0.111111111111111,0,0,0.027777777777778,36
AM Rahane,AD Russell,0.388888888888889,0.388888888888889,0,0,0.166666666666667,0,0,0.055555555555556,18
R Dravid,AD Russell,0.3,0.4,0.1,0,0.1,0,0.1,0,10
R Dravid,IK Pathan,0.372093023255814,0.325581395348837,0.046511627906977,0,0.162790697674419,0,0.046511627906977,0.046511627906977,43
R Dravid,S Nadeem,0.242424242424242,0.636363636363636,0,0,0.121212121212121,0,0,0,33
AM Rahane,S Nadeem,0.24,0.58,0.04,0,0.08,0,0.02,0.04,50
STR Binny,S Nadeem,0.454545454545455,0.363636363636364,0.181818181818182,0,0,0,0,0,11
STR Binny,AD Russell,0,0.75,0.25,0,0,0,0,0,4
STR Binny,J Botha,0,0.4,0,0,0.2,0,0.4,0,5
R Dravid,J Botha,0,1,0,0,0,0,0,0,1
STR Binny,A Nehra,0.125,0.375,0.125,0.125,0.125,0,0.125,0,8
STR Binny,UT Yadav,0.25,0,0,0,0.25,0,0.25,0.25,8
BJ Hodge,UT Yadav,0.473684210526316,0.210526315789474,0.052631578947369,0,0.210526315789474,0,0,0.052631578947369,19
BJ Hodge,IK Pathan,0.1,0.45,0.05,0,0.35,0,0,0.05,20
AL Menaria,A Nehra,0.5,0.25,0,0,0.125,0,0,0.125,8
KK Cooper,A Nehra,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,3
R Shukla,A Nehra,0.5,0.5,0,0,0,0,0,0,2
DA Warner,S Badree,0.3,0.4,0,0,0.3,0,0,0,10
UBT Chand,S Badree,0.3,0.4,0.2,0,0,0,0.1,0,10
UBT Chand,S Sreesanth,0.555555555555556,0.111111111111111,0,0,0.222222222222222,0,0,0.111111111111111,9
DA Warner,S Sreesanth,0.555555555555556,0.222222222222222,0.037037037037037,0,0.111111111111111,0,0,0.074074074074074,27
DPMD Jayawardene,S Sreesanth,0.75,0.25,0,0,0,0,0,0,4
DA Warner,SK Trivedi,0.24,0.48,0.12,0,0.12,0,0.04,0,25
DPMD Jayawardene,SK Trivedi,0.464285714285714,0.25,0.107142857142857,0,0.035714285714286,0,0.071428571428572,0.071428571428572,28
DA Warner,KK Cooper,0,0.625,0.25,0,0.125,0,0,0,8
DPMD Jayawardene,KK Cooper,0.25,0.25,0,0,0.25,0.25,0,0,4
DA Warner,R Shukla,0.181818181818182,0.454545454545455,0,0,0.363636363636364,0,0,0,11
DPMD Jayawardene,R Shukla,0.5,0.3,0,0,0.1,0,0,0.1,10
MC Juneja,SK Trivedi,0.2,0.6,0,0,0.2,0,0,0,5
MC Juneja,R Shukla,0.5,0.5,0,0,0,0,0,0,2
MC Juneja,KK Cooper,0.4,0.4,0,0,0,0,0,0.2,5
MC Juneja,S Badree,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,3
DA Warner,STR Binny,0.416666666666667,0.416666666666667,0.083333333333333,0,0,0,0,0.083333333333333,12
MC Juneja,STR Binny,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,3
AD Russell,R Shukla,0,0.5,0.5,0,0,0,0,0,4
J Botha,R Shukla,0,1,0,0,0,0,0,0,1
J Botha,KK Cooper,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,3
AD Russell,KK Cooper,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,3
IK Pathan,KK Cooper,0.25,0.5,0.25,0,0,0,0,0,4
NV Ojha,KK Cooper,0.5,0.5,0,0,0,0,0,0,4
