bowler,Avg,SR,Econ
IK Pathan,32.9625,24.6625,8.01926001013685
A Nehra,23.311320754717,17.377358490566,8.04885993485342
UT Yadav,29.4395604395604,20.2967032967033,8.70276123443422
AD Russell,28.6451612903226,19.741935483871,8.70588235294118
S Nadeem,35.4864864864865,29.5405405405405,7.20768526989936
J Botha,31.84,27.16,7.03387334315169
S Badree,28.5454545454545,23,7.44664031620553
S Sreesanth,28.2926829268293,19.8292682926829,8.56088560885609
SK Trivedi,28.8307692307692,22.3846153846154,7.72783505154639
KK Cooper,22.6969696969697,16.7272727272727,8.14130434782609
R Shukla,41.4,22,11.2909090909091
STR Binny,30.9545454545455,23.9090909090909,7.7680608365019
P Kumar,35.7666666666667,26.7888888888889,8.01078390709249
BA Bhatt,32.9166666666667,24.0833333333333,8.20069204152249
P Awana,26.0769230769231,18.4615384615385,8.475
Azhar Mahmood,23.7241379310345,18,7.90804597701149
PP Chawla,25.6269841269841,20.0952380952381,7.65165876777251
DJ Hussey,59.125,38.875,9.12540192926045
MM Patel,22.6216216216216,17.9459459459459,7.56325301204819
RP Singh,25.7444444444444,18.6222222222222,8.29474940334129
PP Ojha,25.8539325842697,20.8202247191011,7.45062061521857
KA Pollard,31.4821428571429,20.0357142857143,9.42780748663102
Harbhajan Singh,26.4724409448819,22.4330708661417,7.08037908037908
NLTC Perera,32.6451612903226,21.9677419354839,8.91629955947137
HH Pandya,54.2,34.1,9.5366568914956
MJ McClenaghan,24.1296296296296,16.1111111111111,8.98620689655172
JJ Bumrah,30.2608695652174,21.8260869565217,8.31872509960159
SL Malinga,18.7272727272727,15.7272727272727,7.14450867052023
KV Sharma,26.46,20.44,7.76712328767123
Sandeep Sharma,22.169014084507,16.5774647887324,8.02378929481733
MJ Henry,71,29,14.6896551724138
I Sharma,37.6034482758621,26.7068965517241,8.44803098773402
MM Sharma,24.9156626506024,18.0963855421687,8.26098535286285
AR Patel,26.5862068965517,21.0689655172414,7.57119476268412
GJ Maxwell,43.2727272727273,28.5454545454545,9.09554140127389
R Tewatia,23.1666666666667,20.6666666666667,6.7258064516129
MG Johnson,24.55,17.5,8.41714285714286
L Balaji,26.3815789473684,19.0789473684211,8.29655172413793
M Kartik,44.1612903225806,36,7.36021505376344
KW Richardson,23.1578947368421,16.2105263157895,8.57142857142857
DS Kulkarni,24.3684210526316,17.7236842105263,8.24944320712695
JP Faulkner,29.344262295082,19.4918032786885,9.03280067283431
PV Tambe,30.2857142857143,23.0714285714286,7.87616099071207
R Bhatia,28.2957746478873,22.6901408450704,7.48230912476723
Z Khan,26.8640776699029,20.621359223301,7.81638418079096
CH Morris,23.3333333333333,18.037037037037,7.76180698151951
A Mishra,24.134328358209,19.2164179104478,7.53553398058252
Imran Tahir,20.7234042553191,14.8510638297872,8.37249283667622
JP Duminy,34.304347826087,27.695652173913,7.43171114599686
DJ Bravo,22.4590163934426,15.7868852459016,8.53582554517134
SK Raina,44.48,35.2,7.58181818181818
DR Smith,30.7307692307692,20.0384615384615,9.20153550863724
RA Jadeja,30.4024390243902,23.0243902439024,7.92266949152542
R Vinay Kumar,28.1359223300971,19.873786407767,8.49438202247191
J Suchith,36.6,23.9,9.18828451882845
NM Coulter-Nile,19.7222222222222,15,7.88888888888889
AD Mathews,39.6296296296296,28.7037037037037,8.28387096774194
Yuvraj Singh,29.2777777777778,23.4722222222222,7.48402366863905
DP Nannes,27.6785714285714,21.5357142857143,7.71144278606965
AS Rajpoot,29.375,20.5,8.59756097560976
B Laughlin,71,39,10.9230769230769
R Ashwin,24.77,22.21,6.69158036920306
AB Dinda,29.4782608695652,20.9130434782609,8.45738045738046
DL Chahar,115,67,10.2985074626866
BA Stokes,26.25,21.1666666666667,7.44094488188976
A Zampa,14.4210526315789,11.4210526315789,7.57603686635945
PJ Cummins,29.1176470588235,20.1764705882353,8.65889212827988
CJ Anderson,50.125,28.875,10.4155844155844
SR Watson,28.1279069767442,20.4767441860465,8.24190800681431
Ankit Sharma,36.0833333333333,29.4166666666667,7.35977337110482
MA Starc,20.1764705882353,16.1176470588235,7.51094890510949
S Aravind,23,16.2666666666667,8.48360655737705
HV Patel,28.4117647058823,19.3823529411765,8.79514415781487
D Wiese,25,16.6875,8.98876404494382
YS Chahal,22.2142857142857,16.6142857142857,8.02235597592433
B Kumar,20.8198198198198,17.1891891891892,7.26729559748428
SB Wagh,27.4,19.2,8.5625
WD Parnell,25.1111111111111,20.1111111111111,7.49171270718232
R Sharma,27.15,23.025,7.07491856677525
MR Marsh,20.65,15.15,8.17821782178218
AA Jhunjhunwala,129,82,9.4390243902439
RJ Harris,22.8222222222222,17.8,7.69288389513109
SJ Srivastava,30.9285714285714,18.4285714285714,10.0697674418605
PC Valthaty,28.7142857142857,21.2857142857143,8.09395973154362
SM Pollock,27.3636363636364,24.7272727272727,6.63970588235294
VS Yeligati,0,0,11.7857142857143
SD Chitnis,28,17,9.88235294117647
CRD Fernando,17.1176470588235,12.8823529411765,7.97260273972603
VRV Singh,44.3333333333333,29.0833333333333,9.14613180515759
JR Hopes,39.1428571428571,25.0714285714286,9.36752136752137
DL Vettori,31.3571428571429,27.4642857142857,6.85045513654096
M Muralitharan,26.46875,23.046875,6.89084745762712
CH Gayle,39.0555555555556,28.8333333333333,8.1271676300578
Pankaj Singh,42,26.2727272727273,9.5916955017301
A Singh,21.9642857142857,16.4285714285714,8.02173913043478
GB Hogg,24.1739130434783,19.5652173913043,7.41333333333333
M Morkel,26.8181818181818,20.2467532467532,7.94740218088518
Shakib Al Hasan,25.5348837209302,20.8139534883721,7.3608938547486
SP Narine,21.3052631578947,20.0631578947368,6.37145855194124
KC Cariappa,38.5,24.625,9.38071065989848
BB Sran,33.7857142857143,22.0714285714286,9.18446601941747
S Kaul,26.8636363636364,18.6818181818182,8.62773722627737
Mohammad Nabi,29,33,5.27272727272727
Rashid Khan,20.9411764705882,18.8235294117647,6.675
MC Henriques,32.6052631578947,22.6842105263158,8.62412993039443
JA Morkel,27.4235294117647,19.2823529411765,8.53325198291641
VR Aaron,31.7631578947368,20.6315789473684,9.23724489795918
JH Kallis,34.8769230769231,25.9230769230769,8.07240356083086
SB Jakati,30.5744680851064,22.7446808510638,8.06548175865295
M Ashwin,34.1428571428571,23.7142857142857,8.63855421686747
JDP Oram,38.1111111111111,25.5555555555556,8.94782608695652
MS Gony,34.7297297297297,23,9.0599294947121
P Amarnath,33.7142857142857,18.8571428571429,10.7272727272727
Joginder Sharma,33.1666666666667,20,9.95
AB Agarkar,39.448275862069,25.6551724137931,9.2258064516129
Mohammad Hafeez,32,28.5,6.73684210526316
LR Shukla,29.2666666666667,20.1333333333333,8.72185430463576
AA Chavan,40.625,30.125,8.09128630705394
TA Boult,32.6,21.0666666666667,9.28481012658228
Bipul Sharma,33.3529411764706,24.4705882352941,8.17788461538462
BCJ Cutting,33.4285714285714,23.2857142857143,8.61349693251534
S Kaushik,49.5,33,9
JD Ryder,37.75,28.875,7.84415584415584
A Chandila,22,21.2727272727273,6.20512820512821
SW Tait,25.5416666666667,17.1666666666667,8.92718446601942
JEC Franklin,24.2222222222222,16.3333333333333,8.89795918367347
RJ Peterson,23.3333333333333,16,8.75
DW Steyn,24.9021739130435,21.4021739130435,6.98120873539868
V Pratap Singh,29.6,19.7,9.01522842639594
DT Christian,31.0333333333333,22.5666666666667,8.25110782865584
A Ashish Reddy,21.7777777777778,14.1111111111111,9.25984251968504
DJG Sammy,31.5454545454545,20.7272727272727,9.13157894736842
KP Pietersen,30.1428571428571,24,7.53571428571429
