bowler,runs,wickets,balls
IK Pathan,2637,80,1973
A Nehra,2471,106,1842
UT Yadav,2679,91,1847
AD Russell,888,31,612
S Nadeem,1313,37,1093
J Botha,796,25,679
S Badree,314,11,253
S Sreesanth,1160,41,813
SK Trivedi,1874,65,1455
KK Cooper,749,33,552
R Shukla,207,5,110
STR Binny,681,22,526
P Kumar,3219,90,2411
BA Bhatt,395,12,289
P Awana,1017,39,720
Azhar Mahmood,688,29,522
PP Chawla,3229,126,2532
DJ Hussey,473,8,311
MM Patel,1674,74,1328
RP Singh,2317,90,1676
PP Ojha,2301,89,1853
KA Pollard,1763,56,1122
Harbhajan Singh,3362,127,2849
NLTC Perera,1012,31,681
HH Pandya,542,10,341
MJ McClenaghan,1303,54,870
JJ Bumrah,1392,46,1004
SL Malinga,2884,154,2422
KV Sharma,1323,50,1022
Sandeep Sharma,1574,71,1177
MJ Henry,71,1,29
I Sharma,2181,58,1549
MM Sharma,2068,83,1502
AR Patel,1542,58,1222
GJ Maxwell,476,11,314
R Tewatia,139,6,124
MG Johnson,1473,60,1050
L Balaji,2005,76,1450
M Kartik,1369,31,1116
KW Richardson,440,19,308
DS Kulkarni,1852,76,1347
JP Faulkner,1790,61,1189
PV Tambe,848,28,646
R Bhatia,2009,71,1611
Z Khan,2767,103,2124
CH Morris,1260,54,974
A Mishra,3234,134,2575
Imran Tahir,974,47,698
JP Duminy,789,23,637
DJ Bravo,2740,122,1926
SK Raina,1112,25,880
DR Smith,799,26,521
RA Jadeja,2493,82,1888
R Vinay Kumar,2898,103,2047
J Suchith,366,10,239
NM Coulter-Nile,710,36,540
AD Mathews,1070,27,775
Yuvraj Singh,1054,36,845
DP Nannes,775,28,603
AS Rajpoot,235,8,164
B Laughlin,71,1,39
R Ashwin,2477,100,2221
AB Dinda,2034,69,1443
DL Chahar,115,1,67
BA Stokes,315,12,254
A Zampa,274,19,217
PJ Cummins,495,17,343
CJ Anderson,401,8,231
SR Watson,2419,86,1761
Ankit Sharma,433,12,353
MA Starc,686,34,548
S Aravind,1035,45,732
HV Patel,966,34,659
D Wiese,400,16,267
YS Chahal,1555,70,1163
B Kumar,2311,111,1908
SB Wagh,137,5,96
WD Parnell,678,27,543
R Sharma,1086,40,921
MR Marsh,413,20,303
AA Jhunjhunwala,129,1,82
RJ Harris,1027,45,801
SJ Srivastava,433,14,258
PC Valthaty,201,7,149
SM Pollock,301,11,272
VS Yeligati,55,0,28
SD Chitnis,56,2,34
CRD Fernando,291,17,219
VRV Singh,532,12,349
JR Hopes,548,14,351
DL Vettori,878,28,769
M Muralitharan,1694,64,1475
CH Gayle,703,18,519
Pankaj Singh,462,11,289
A Singh,615,28,460
GB Hogg,556,23,450
M Morkel,2065,77,1559
Shakib Al Hasan,1098,43,895
SP Narine,2024,95,1906
KC Cariappa,308,8,197
BB Sran,473,14,309
S Kaul,591,22,411
Mohammad Nabi,58,2,66
Rashid Khan,356,17,320
MC Henriques,1239,38,862
JA Morkel,2331,85,1639
VR Aaron,1207,38,784
JH Kallis,2267,65,1685
SB Jakati,1437,47,1069
M Ashwin,239,7,166
JDP Oram,343,9,230
MS Gony,1285,37,851
P Amarnath,236,7,132
Joginder Sharma,398,12,240
AB Agarkar,1144,29,744
Mohammad Hafeez,64,2,57
LR Shukla,439,15,302
AA Chavan,325,8,241
TA Boult,489,15,316
Bipul Sharma,567,17,416
BCJ Cutting,234,7,163
S Kaushik,297,6,198
JD Ryder,302,8,231
A Chandila,242,11,234
SW Tait,613,24,412
JEC Franklin,218,9,147
RJ Peterson,70,3,48
DW Steyn,2291,92,1969
V Pratap Singh,296,10,197
DT Christian,931,30,677
