DL Chahar,24.22,19.3,7.51
M Markande,24.35,18,8.11
E Lewis,0,0,0
A Dananjaya,23.42,19.4,7.22
JA Behrandorff,18.56,15.4,7.19
L Ngidi,18.57,6.99,15.9
Monu Kumar,21.06,6.47,19.5
KM Asif,16.75,10.5,9.57
DR Shorey,0,0,0
MA Wood,24.6,17.8,8.25
JC Archer,22.14,16.3,8.12
MK Lomror,60.75,42.2,8.62
DJM Short,35.9,26,8.28
H Klaasen,0,0,0
P Chopra,0,0,0
K Gowtham,28.74,23.6,7.3
MM Ali,27.73,21.6,7.69
K Khejroliya,21.87,17.9,7.31
AA Joshi,12.33,10,7.4
PU Deshpande,46.5,37.5,7.44
NA Saini,25.3,25.1,6.03
JPR Scantlebury-Searles,24.03,16.6,8.68
Shivam Mavi,54,33.6,9.64
TK Curran,26.45,18.3,8.66
Shubman Gill,0,0,0
M Prasidh Krishna,24.14,16.2,8.89
LE Plunkett,28.36,21.2,8.02
PP Shaw,0,0,0
RK Singh,79,36,13.16
Abhishek Sharma,0,0,0
Avesh Khan,30.33,21.5,8.46
CJ Dala,24.96,18.2,8.2
S Lamichhne,19.92,16.7,7.15
Mujeeb Ur Rahman,23.79,20.6,6.91
RK Bhui,0,0,0
KK Ahmed,20.85,17.4,7.18
AD Hales,0,0,14
